,body_text,label,body_text_clean,body_text_tokenized,body_text_nostop,body_text_stemmed,body_text_pos
17,"To anyone still making the 'Something about a picture of Andy Carroll...OH NO WAIT, IT'S A HORSE' joke; stop.",NOT_SARCASM,to anyone still making the something about a picture of andy carroll oh no wait its a horse joke stop,"['to', 'anyone', 'still', 'making', 'the', 'something', 'about', 'a', 'picture', 'of', 'andy', 'carroll', 'oh', 'no', 'wait', 'its', 'a', 'horse', 'joke', 'stop']","['anyone', 'still', 'making', 'something', 'picture', 'andy', 'carroll', 'oh', 'wait', 'horse', 'joke', 'stop']","['anyon', 'still', 'make', 'someth', 'pictur', 'andi', 'carrol', 'oh', 'wait', 'hors', 'joke', 'stop']","['anyon_NN', 'still_RB', 'make_VB', 'someth_JJ', 'pictur_NN', 'andi_NN', 'carrol_NN', 'oh_JJ', 'wait_NN', 'hors_NNS', 'joke_VBD', 'stop_NN']"
18,"@FrootNL yess, actie loopt tot 24 augustus! :D #sarcasm",NOT_SARCASM,frootnl yess actie loopt tot augustus d,"['frootnl', 'yess', 'actie', 'loopt', 'tot', 'augustus', 'd']","['frootnl', 'yess', 'actie', 'loopt', 'tot', 'augustus']","['frootnl', 'yess', 'acti', 'loopt', 'tot', 'augustu']","['frootnl_NN', 'yess_NN', 'acti_NN', 'loopt_NN', 'tot_NN', 'augustu_NN']"
19,Its my birthday bitches... who's gonna start sucking my dick and who's gonna start sucking my balls?,NOT_SARCASM,its my birthday bitches whos gonna start sucking my dick and whos gonna start sucking my balls,"['its', 'my', 'birthday', 'bitches', 'whos', 'gon', 'na', 'start', 'sucking', 'my', 'dick', 'and', 'whos', 'gon', 'na', 'start', 'sucking', 'my', 'balls']","['birthday', 'bitches', 'whos', 'gon', 'na', 'start', 'sucking', 'dick', 'whos', 'gon', 'na', 'start', 'sucking', 'balls']","['birthday', 'bitch', 'who', 'gon', 'na', 'start', 'suck', 'dick', 'who', 'gon', 'na', 'start', 'suck', 'ball']","['birthday_JJ', 'bitch_NN', 'who_WP', 'gon_VBZ', 'na_TO', 'start_VB', 'suck_JJ', 'dick_NN', 'who_WP', 'gon_VBZ', 'na_TO', 'start_VB', 'suck_VB', 'ball_NN']"
20,Tyga feat. Kirko bangz Out This Bitch,NOT_SARCASM,tyga feat kirko bangz out this bitch,"['tyga', 'feat', 'kirko', 'bangz', 'out', 'this', 'bitch']","['tyga', 'feat', 'kirko', 'bangz', 'bitch']","['tyga', 'feat', 'kirko', 'bangz', 'bitch']","['tyga_NN', 'feat_NN', 'kirko_NN', 'bangz_NN', 'bitch_NN']"
21,We all have that one person who we wished we never gave our phone number to... #Ted,NOT_SARCASM,we all have that one person who we wished we never gave our phone number to,"['we', 'all', 'have', 'that', 'one', 'person', 'who', 'we', 'wished', 'we', 'never', 'gave', 'our', 'phone', 'number', 'to']","['one', 'person', 'wished', 'never', 'gave', 'phone', 'number']","['one', 'person', 'wish', 'never', 'gave', 'phone', 'number']","['one_CD', 'person_NN', 'wish_JJ', 'never_RB', 'gave_VBD', 'phone_NN', 'number_NN']"
22,"Oh, love this! Shaky camera : Check RT @Hickesy Fake, of course, but I still love this UFO vid http://t.co/n9ju9uM7",NOT_SARCASM,oh love this shaky camera check rt hickesy fake of course but i still love this ufo vid,"['oh', 'love', 'this', 'shaky', 'camera', 'check', 'rt', 'hickesy', 'fake', 'of', 'course', 'but', 'i', 'still', 'love', 'this', 'ufo', 'vid']","['oh', 'love', 'shaky', 'camera', 'check', 'rt', 'hickesy', 'fake', 'course', 'still', 'love', 'ufo', 'vid']","['oh', 'love', 'shaki', 'camera', 'check', 'rt', 'hickesi', 'fake', 'cours', 'still', 'love', 'ufo', 'vid']","['oh_UH', 'love_VB', 'shaki_NN', 'camera_NN', 'check_NN', 'rt_NN', 'hickesi_NN', 'fake_NN', 'cours_NNS', 'still_RB', 'love_VBP', 'ufo_JJ', 'vid_NN']"
23,Monitoring the hashtag  #PhTrenchQuake stay safe follow orders please,NOT_SARCASM,monitoring the hashtag stay safe follow orders please,"['monitoring', 'the', 'hashtag', 'stay', 'safe', 'follow', 'orders', 'please']","['monitoring', 'hashtag', 'stay', 'safe', 'follow', 'orders', 'please']","['monitor', 'hashtag', 'stay', 'safe', 'follow', 'order', 'pleas']","['monitor_NN', 'hashtag_NN', 'stay_NN', 'safe_JJ', 'follow_JJ', 'order_NN', 'pleas_NNS']"
24,@Students4Obama If your Dad will let you sit there #fadedposter,NOT_SARCASM,students obama if your dad will let you sit there,"['students', 'obama', 'if', 'your', 'dad', 'will', 'let', 'you', 'sit', 'there']","['students', 'obama', 'dad', 'let', 'sit']","['student', 'obama', 'dad', 'let', 'sit']","['student_NN', 'obama_MD', 'dad_VB', 'let_VB', 'sit_VB']"
25,"#PROJECTRUNWAY Ven ur dress gave ur  model a 3RD BREAST! Nice, just what every gal wants! u sure know design better than women! #sarcasm",NOT_SARCASM,ven ur dress gave ur model a rd breast nice just what every gal wants u sure know design better than women,"['ven', 'ur', 'dress', 'gave', 'ur', 'model', 'a', 'rd', 'breast', 'nice', 'just', 'what', 'every', 'gal', 'wants', 'u', 'sure', 'know', 'design', 'better', 'than', 'women']","['ven', 'ur', 'dress', 'gave', 'ur', 'model', 'rd', 'breast', 'nice', 'every', 'gal', 'wants', 'u', 'sure', 'know', 'design', 'better', 'women']","['ven', 'ur', 'dress', 'gave', 'ur', 'model', 'rd', 'breast', 'nice', 'everi', 'gal', 'want', 'u', 'sure', 'know', 'design', 'better', 'women']","['ven_RB', 'ur_JJ', 'dress_NN', 'gave_VBD', 'ur_JJ', 'model_NN', 'rd_NN', 'breast_NN', 'nice_JJ', 'everi_JJ', 'gal_NN', 'want_VBP', 'u_JJ', 'sure_NN', 'know_VBP', 'design_NN', 'better_RBR', 'women_NNS']"
26,I want to be here... http://t.co/Q9bFkxsE,NOT_SARCASM,i want to be here,"['i', 'want', 'to', 'be', 'here']",['want'],['want'],['want_NN']
27,"Omg most insane matriculants, we rather play soccer than study 4 prelims=D @SadieRazak , @Cocoz_25,@xFatima_s , @TasneemKarolia,#Soccer4lyf♥",NOT_SARCASM,omg most insane matriculants we rather play soccer than study prelims d sadierazak cocoz xfatima s tasneemkarolia,"['omg', 'most', 'insane', 'matriculants', 'we', 'rather', 'play', 'soccer', 'than', 'study', 'prelims', 'd', 'sadierazak', 'cocoz', 'xfatima', 's', 'tasneemkarolia']","['omg', 'insane', 'matriculants', 'rather', 'play', 'soccer', 'study', 'prelims', 'sadierazak', 'cocoz', 'xfatima', 'tasneemkarolia']","['omg', 'insan', 'matricul', 'rather', 'play', 'soccer', 'studi', 'prelim', 'sadierazak', 'cocoz', 'xfatima', 'tasneemkarolia']","['omg_JJ', 'insan_JJ', 'matricul_NN', 'rather_RB', 'play_JJ', 'soccer_NN', 'studi_NN', 'prelim_NN', 'sadierazak_NN', 'cocoz_NN', 'xfatima_NNP', 'tasneemkarolia_NN']"
28,@BertLcfc lookin forward to satday as well nothin quite like a 5.20 kick off #sarcasm,NOT_SARCASM,bertlcfc lookin forward to satday as well nothin quite like a kick off,"['bertlcfc', 'lookin', 'forward', 'to', 'satday', 'as', 'well', 'nothin', 'quite', 'like', 'a', 'kick', 'off']","['bertlcfc', 'lookin', 'forward', 'satday', 'well', 'nothin', 'quite', 'like', 'kick']","['bertlcfc', 'lookin', 'forward', 'satday', 'well', 'nothin', 'quit', 'like', 'kick']","['bertlcfc_NN', 'lookin_FW', 'forward_NN', 'satday_NN', 'well_RB', 'nothin_RB', 'quit_VBP', 'like_IN', 'kick_NN']"
29,Yay it's 3 hour clinical day. I'm so freaking excited I can't stand it. #sarcasm,SARCASM,yay its hour clinical day im so freaking excited i cant stand it,"['yay', 'its', 'hour', 'clinical', 'day', 'im', 'so', 'freaking', 'excited', 'i', 'cant', 'stand', 'it']","['yay', 'hour', 'clinical', 'day', 'im', 'freaking', 'excited', 'cant', 'stand']","['yay', 'hour', 'clinic', 'day', 'im', 'freak', 'excit', 'cant', 'stand']","['yay_RB', 'hour_NN', 'clinic_JJ', 'day_NN', 'im_VB', 'freak_JJ', 'excit_NN', 'cant_NN', 'stand_NN']"
30,I love it whenever my brother gets up and turns on all the lights... #sarcasm,SARCASM,i love it whenever my brother gets up and turns on all the lights,"['i', 'love', 'it', 'whenever', 'my', 'brother', 'gets', 'up', 'and', 'turns', 'on', 'all', 'the', 'lights']","['love', 'whenever', 'brother', 'gets', 'turns', 'lights']","['love', 'whenev', 'brother', 'get', 'turn', 'light']","['love_VB', 'whenev_NN', 'brother_NN', 'get_VB', 'turn_NN', 'light_NN']"
31,#10TurnOns Yet again if you list them on twitter you're garbage.,NOT_SARCASM,yet again if you list them on twitter youre garbage,"['yet', 'again', 'if', 'you', 'list', 'them', 'on', 'twitter', 'youre', 'garbage']","['yet', 'list', 'twitter', 'youre', 'garbage']","['yet', 'list', 'twitter', 'your', 'garbag']","['yet_RB', 'list_JJ', 'twitter_NN', 'your_PRP$', 'garbag_NN']"
32,@_jackpeters hahaha mannn gota have his slices yooo!,NOT_SARCASM,jackpeters hahaha mannn gota have his slices yooo,"['jackpeters', 'hahaha', 'mannn', 'gota', 'have', 'his', 'slices', 'yooo']","['jackpeters', 'hahaha', 'mannn', 'gota', 'slices', 'yooo']","['jackpet', 'hahaha', 'mannn', 'gota', 'slice', 'yooo']","['jackpet_NN', 'hahaha_NN', 'mannn_NN', 'gota_NN', 'slice_NN', 'yooo_NN']"
33,Thank god I invested in an umbrella this year.,NOT_SARCASM,thank god i invested in an umbrella this year,"['thank', 'god', 'i', 'invested', 'in', 'an', 'umbrella', 'this', 'year']","['thank', 'god', 'invested', 'umbrella', 'year']","['thank', 'god', 'invest', 'umbrella', 'year']","['thank_NN', 'god_NN', 'invest_JJS', 'umbrella_JJ', 'year_NN']"
34,A little nervous to start school 😝 5 classes in one day should be fun...,SARCASM,a little nervous to start school classes in one day should be fun,"['a', 'little', 'nervous', 'to', 'start', 'school', 'classes', 'in', 'one', 'day', 'should', 'be', 'fun']","['little', 'nervous', 'start', 'school', 'classes', 'one', 'day', 'fun']","['littl', 'nervou', 'start', 'school', 'class', 'one', 'day', 'fun']","['littl_NN', 'nervou_JJ', 'start_JJ', 'school_NN', 'class_NN', 'one_CD', 'day_NN', 'fun_NN']"
35,Authentic Volk RE30's . 18x9.5 +25 . Flat Gunmetal Finish . Comes with Center caps &amp; Valve Stems . $2400 OBO... http://t.co/xCr9IQCd,NOT_SARCASM,authentic volk re s x flat gunmetal finish comes with center caps amp valve stems obo,"['authentic', 'volk', 're', 's', 'x', 'flat', 'gunmetal', 'finish', 'comes', 'with', 'center', 'caps', 'amp', 'valve', 'stems', 'obo']","['authentic', 'volk', 'x', 'flat', 'gunmetal', 'finish', 'comes', 'center', 'caps', 'amp', 'valve', 'stems', 'obo']","['authent', 'volk', 'x', 'flat', 'gunmet', 'finish', 'come', 'center', 'cap', 'amp', 'valv', 'stem', 'obo']","['authent_NN', 'volk_NN', 'x_NNP', 'flat_JJ', 'gunmet_VBD', 'finish_JJ', 'come_NN', 'center_NN', 'cap_NN', 'amp_NN', 'valv_NN', 'stem_NN', 'obo_NN']"
36,You know what I love doing? Rehashing old arguments. #sarcasm,SARCASM,you know what i love doing rehashing old arguments,"['you', 'know', 'what', 'i', 'love', 'doing', 'rehashing', 'old', 'arguments']","['know', 'love', 'rehashing', 'old', 'arguments']","['know', 'love', 'rehash', 'old', 'argument']","['know_VB', 'love_VB', 'rehash_NN', 'old_JJ', 'argument_NN']"
37,When I really wana sleep n ppl wana chat✗,NOT_SARCASM,when i really wana sleep n ppl wana chat,"['when', 'i', 'really', 'wana', 'sleep', 'n', 'ppl', 'wana', 'chat']","['really', 'wana', 'sleep', 'n', 'ppl', 'wana', 'chat']","['realli', 'wana', 'sleep', 'n', 'ppl', 'wana', 'chat']","['realli_NN', 'wana_WRB', 'sleep_NN', 'n_NN', 'ppl_NN', 'wana_NN', 'chat_NN']"
38,@iAM_MissJackson well I guess because they were missing pleasure p.,NOT_SARCASM,iam missjackson well i guess because they were missing pleasure p,"['iam', 'missjackson', 'well', 'i', 'guess', 'because', 'they', 'were', 'missing', 'pleasure', 'p']","['iam', 'missjackson', 'well', 'guess', 'missing', 'pleasure', 'p']","['iam', 'missjackson', 'well', 'guess', 'miss', 'pleasur', 'p']","['iam_NN', 'missjackson_NN', 'well_RB', 'guess_JJ', 'miss_NNS', 'pleasur_VBP', 'p_NN']"
39,"Dear Teva, thank you for waking me up every few hours by howling. Your just trying to be mother natures alarm clock. #sarcasm",SARCASM,dear teva thank you for waking me up every few hours by howling your just trying to be mother natures alarm clock,"['dear', 'teva', 'thank', 'you', 'for', 'waking', 'me', 'up', 'every', 'few', 'hours', 'by', 'howling', 'your', 'just', 'trying', 'to', 'be', 'mother', 'natures', 'alarm', 'clock']","['dear', 'teva', 'thank', 'waking', 'every', 'hours', 'howling', 'trying', 'mother', 'natures', 'alarm', 'clock']","['dear', 'teva', 'thank', 'wake', 'everi', 'hour', 'howl', 'tri', 'mother', 'natur', 'alarm', 'clock']","['dear_JJ', 'teva_NN', 'thank_NN', 'wake_NN', 'everi_FW', 'hour_NN', 'howl_NN', 'tri_NN', 'mother_NN', 'natur_JJ', 'alarm_NN', 'clock_NN']"
40,"@MarkPacker Yeah, but Beckett is the kind of guy that just makes you want to root for him.  #sarcasm",NOT_SARCASM,markpacker yeah but beckett is the kind of guy that just makes you want to root for him,"['markpacker', 'yeah', 'but', 'beckett', 'is', 'the', 'kind', 'of', 'guy', 'that', 'just', 'makes', 'you', 'want', 'to', 'root', 'for', 'him']","['markpacker', 'yeah', 'beckett', 'kind', 'guy', 'makes', 'want', 'root']","['markpack', 'yeah', 'beckett', 'kind', 'guy', 'make', 'want', 'root']","['markpack_NN', 'yeah_NN', 'beckett_NN', 'kind_NN', 'guy_NN', 'make_VBP', 'want_JJ', 'root_NN']"
41,My favourite pre-work job: fixing a punctured bike tyre. #Sarcasm,SARCASM,my favourite pre work job fixing a punctured bike tyre,"['my', 'favourite', 'pre', 'work', 'job', 'fixing', 'a', 'punctured', 'bike', 'tyre']","['favourite', 'pre', 'work', 'job', 'fixing', 'punctured', 'bike', 'tyre']","['favourit', 'pre', 'work', 'job', 'fix', 'punctur', 'bike', 'tyre']","['favourit_NN', 'pre_NN', 'work_NN', 'job_NN', 'fix_JJ', 'punctur_NN', 'bike_NN', 'tyre_NN']"
42,@haileytanley Good! I will give details later,NOT_SARCASM,haileytanley good i will give details later,"['haileytanley', 'good', 'i', 'will', 'give', 'details', 'later']","['haileytanley', 'good', 'give', 'details', 'later']","['haileytanley', 'good', 'give', 'detail', 'later']","['haileytanley_RB', 'good_JJ', 'give_NN', 'detail_NN', 'later_RB']"
43,@justkramer good you'll save more money that way #sarcasm,NOT_SARCASM,justkramer good youll save more money that way,"['justkramer', 'good', 'youll', 'save', 'more', 'money', 'that', 'way']","['justkramer', 'good', 'youll', 'save', 'money', 'way']","['justkram', 'good', 'youll', 'save', 'money', 'way']","['justkram_NN', 'good_JJ', 'youll_NN', 'save_VB', 'money_NN', 'way_NN']"
44,@xBig_Dawgg  made the semi pro team bruh ran a 4.54,NOT_SARCASM,xbig dawgg made the semi pro team bruh ran a,"['xbig', 'dawgg', 'made', 'the', 'semi', 'pro', 'team', 'bruh', 'ran', 'a']","['xbig', 'dawgg', 'made', 'semi', 'pro', 'team', 'bruh', 'ran']","['xbig', 'dawgg', 'made', 'semi', 'pro', 'team', 'bruh', 'ran']","['xbig_NN', 'dawgg_NN', 'made_VBD', 'semi_JJ', 'pro_JJ', 'team_NN', 'bruh_NN', 'ran_VBD']"
45,"Well, today has started of to a WONDERFUL start. #Sarcasm",NOT_SARCASM,well today has started of to a wonderful start,"['well', 'today', 'has', 'started', 'of', 'to', 'a', 'wonderful', 'start']","['well', 'today', 'started', 'wonderful', 'start']","['well', 'today', 'start', 'wonder', 'start']","['well_RB', 'today_NN', 'start_VB', 'wonder_JJR', 'start_NN']"
46,@ashvichotai Thankyouu!my dad don't understand why I'm so pleased with that result ! Haha xx,NOT_SARCASM,ashvichotai thankyouu my dad dont understand why im so pleased with that result haha xx,"['ashvichotai', 'thankyouu', 'my', 'dad', 'dont', 'understand', 'why', 'im', 'so', 'pleased', 'with', 'that', 'result', 'haha', 'xx']","['ashvichotai', 'thankyouu', 'dad', 'dont', 'understand', 'im', 'pleased', 'result', 'haha', 'xx']","['ashvichotai', 'thankyouu', 'dad', 'dont', 'understand', 'im', 'pleas', 'result', 'haha', 'xx']","['ashvichotai_NN', 'thankyouu_NN', 'dad_NN', 'dont_NN', 'understand_VBP', 'im_NN', 'pleas_NNS', 'result_VBP', 'haha_JJ', 'xx_NN']"
47,#sarcasm....learn it,NOT_SARCASM,it,['it'],[],[],[]
48,"""Everything Happens For A Reason"".. Yeah I Just Fall Down The Fucking Stairs So I Went To Hospital On Purpose. #Sarcasm.",SARCASM,everything happens for a reason yeah i just fall down the fucking stairs so i went to hospital on purpose,"['everything', 'happens', 'for', 'a', 'reason', 'yeah', 'i', 'just', 'fall', 'down', 'the', 'fucking', 'stairs', 'so', 'i', 'went', 'to', 'hospital', 'on', 'purpose']","['everything', 'happens', 'reason', 'yeah', 'fall', 'fucking', 'stairs', 'went', 'hospital', 'purpose']","['everyth', 'happen', 'reason', 'yeah', 'fall', 'fuck', 'stair', 'went', 'hospit', 'purpos']","['everyth_NN', 'happen_VB', 'reason_NN', 'yeah_PRP', 'fall_VBP', 'fuck_JJ', 'stair_NN', 'went_VBD', 'hospit_JJ', 'purpos_NN']"
49,everyone please request #FashionIsMyKryptonite by @Zendaya96 &amp; @bellathorne!!! so it reaches the DCT3's #1 spot :) &gt; http://t.co/SaBwSsLQ,NOT_SARCASM,everyone please request by zendaya amp bellathorne so it reaches the dct s spot gt,"['everyone', 'please', 'request', 'by', 'zendaya', 'amp', 'bellathorne', 'so', 'it', 'reaches', 'the', 'dct', 's', 'spot', 'gt']","['everyone', 'please', 'request', 'zendaya', 'amp', 'bellathorne', 'reaches', 'dct', 'spot', 'gt']","['everyon', 'pleas', 'request', 'zendaya', 'amp', 'bellathorn', 'reach', 'dct', 'spot', 'gt']","['everyon_NN', 'pleas_NNS', 'request_VBP', 'zendaya_NN', 'amp_NN', 'bellathorn_IN', 'reach_NN', 'dct_NN', 'spot_NN', 'gt_NN']"
50,Watching the cuddleys @torycover  #babytv #thatshowweroll!,NOT_SARCASM,watching the cuddleys torycover,"['watching', 'the', 'cuddleys', 'torycover']","['watching', 'cuddleys', 'torycover']","['watch', 'cuddley', 'torycov']","['watch_NN', 'cuddley_NN', 'torycov_NN']"
51,"Anzhi join #LFC, BSC Young Boys &amp; Udinese in Group A of the Europa League. Bring them on, redmen! #ynwa",NOT_SARCASM,anzhi join bsc young boys amp udinese in group a of the europa league bring them on redmen,"['anzhi', 'join', 'bsc', 'young', 'boys', 'amp', 'udinese', 'in', 'group', 'a', 'of', 'the', 'europa', 'league', 'bring', 'them', 'on', 'redmen']","['anzhi', 'join', 'bsc', 'young', 'boys', 'amp', 'udinese', 'group', 'europa', 'league', 'bring', 'redmen']","['anzhi', 'join', 'bsc', 'young', 'boy', 'amp', 'udines', 'group', 'europa', 'leagu', 'bring', 'redmen']","['anzhi_NN', 'join_NN', 'bsc_NN', 'young_JJ', 'boy_NN', 'amp_JJ', 'udines_NNS', 'group_NN', 'europa_VBP', 'leagu_VBZ', 'bring_JJ', 'redmen_NNS']"
